text,count,relevance
club-foot,2,0.644093
various turnings of the foot,1,0.593142
partisan of progress,1,0.588471
new method,1,0.581223
patriotic idea,1,0.575426
Dr. Duval's volume,1,0.570306
Monsier Homais,1,0.565146
advantages of the attempt,1,0.559619
sorts of arguments,1,0.541989
cure,1,0.530478
beautifying of the patient,1,0.525318
poor Hippolyte,1,0.525318
example,1,0.522708
varus,1,0.522204
voice,1,0.521349
eulogy,1,0.520529
travellers,1,0.519261
article,1,0.518136
Emma,2,0.516608
Rouen,1,0.516505
short paragraph,1,0.515979
fingers,1,0.514516
torsion,1,0.513638
order,1,0.513169
Lion d'Or,1,0.512962
success,1,0.511108
fore,1,0.511034
Charles,1,0.510637
fact,1,0.510045
satisfaction,1,0.509614
operations,1,0.509578
relief,1,0.509176
evening,1,0.509176
lad,1,0.507098
step,1,0.506792
head,1,0.506792
druggist,1,0.505929
inn,1,0.505854
celebrity,1,0.505602
reputation,1,0.505602
hands,1,0.505602
operation,1,0.504789
fortune,1,0.50462
risk,1,0.503811
operator,1,0.503811
paper,1,0.503811
goodness,1,0.503811
snowball,1,0.503811
love,1,0.503811
equinus,1,0.499941
